msno,city,bd,gender,registered_via,registration_init_time,expiration_date,membership_days,age_group,registration_year,reg_month,reg_weekday
iOz2XV2LF6MiV+02PovZKeNFDk4+0hWf/QuyiGZ4cCI=,4,28,male,3,2016-01-01,2017-10-05,643,20s,2016,1,4
nbytZ3+EdbMM3Rk80k4v4g4t4HPbtUAmAIGXYw31mWc=,15,37,male,3,2012-07-25,2017-10-05,1898,30s,2012,7,2
uRLetVA/REh7ndu0cxJk7MR39YSYzD6MBrBjeqztI0g=,13,18,female,3,2012-06-29,2018-04-25,2126,10s,2012,6,4
dqJBfV3kbGznStSZrsned5Ke8VMIeNnIfNbgtRkQAwQ=,1,19,unknown,9,2015-05-09,2017-09-11,856,10s,2015,5,5
U9wGSC/pB6SkX+3yKHDfJQyCnUYqvqeZYOCNbroOJf8=,5,28,female,9,2013-05-31,2017-10-06,1589,20s,2013,5,4
bwz+fTFHhvPVRy+sRq1DMVNEavtiyhxSVIzvHr6Il0Q=,5,51,female,3,2015-09-16,2017-09-23,738,50s,2015,9,2
WNfCAbvOG/RBNqVmDhv8VUKo4oo7Y74X0uidZW72JnU=,22,33,male,9,2007-06-11,2017-09-30,3764,30s,2007,6,0
XL9fOaAmdfJV35udH0/W7xjOtu4REE/Iwlks5ycurHo=,15,24,male,3,2013-04-07,2017-10-21,1658,20s,2013,4,6
2ByH1Vd7BiB8nYGClG0juSnBzZ3sJ4W4a2WjedWSOWM=,22,17,female,3,2014-12-06,2017-08-13,981,10s,2014,12,5
uHqAtShXTRXju5GE8ri3ITsVFepPf8jUoCF7ffNOuqE=,15,26,male,9,2011-11-07,2018-03-04,2309,20s,2011,11,0
YoWQgI2fadjtoh44rN83/77kiP2zxq2/JzbZzn/hwCY=,5,45,male,9,2006-02-26,2017-07-07,4149,40s,2006,2,6
0KZWs+W+Qty/VjnQJO50l4hcEa5aBvew7pzCfHMGrfM=,4,36,male,9,2005-11-18,2017-04-02,4153,30s,2005,11,4
7fxXq98BYeINQI/uYqCH0z+oiMz26YqTI21KbCRpxZc=,5,24,male,3,2014-08-17,2017-10-04,1144,20s,2014,8,6
wlu0WrTYSRnx36Jex0SCy95+5SKHcpD8Ew3TG8lC/NU=,6,57,male,7,2010-03-16,2017-09-19,2744,50s,2010,3,1
xSFqRzK2vBCY9bwpU7PobpeRBJFosVhI1WFZ4qJw2ao=,8,25,female,9,2006-07-02,2017-08-08,4055,20s,2006,7,6
NxObdMwkWPWkMwB38jQn/xsPFMG2IQ/GX6+OaFlFkiQ=,5,36,male,9,2011-02-26,2017-09-26,2404,30s,2011,2,5
5tmaYIuZWO7AX+pq0ZqXtuX6mUYl5nQGWOxsg6PlFoA=,8,25,female,9,2016-11-10,2017-10-09,333,20s,2016,11,3
ik+dP9XmiuyBzl5b9mU9kPKglAAQq5VZFDRZmIGVYB0=,5,18,male,4,2015-12-13,2017-09-12,639,10s,2015,12,6
t8vm3Gr4vn7mI5R4KvgLCGpszgtvKvl91hTnl2zAq7A=,5,26,male,3,2014-11-07,2017-06-16,952,20s,2014,11,4
mPLH/EEgV39HRcIy4l60ezzptnY5RdykNbx08r3Yqgk=,1,36,female,3,2016-12-06,2016-12-09,3,30s,2016,12,1
d+vzmduRJZbkWVqSPpfI+f9tu0nqNiKv5d83fveQHa8=,4,27,male,3,2016-08-06,2018-06-02,665,20s,2016,8,5
OY8nHf5TLStttsuwrNQcR/wP2wvyeVpD6/eHh1SlN3E=,5,26,male,3,2016-10-26,2017-10-06,345,20s,2016,10,2
0gN7VbYwpZAGLzlWgWE3wAQ26XgQ/P5SG3aGIvVCmkw=,22,21,male,7,2015-11-10,2017-09-19,679,20s,2015,11,1
aI2KG6j7VtG7MFbbmlP/wVSJPykMCTki8YwrenxCrOA=,5,34,male,9,2007-10-09,2017-10-01,3645,30s,2007,10,1
NE+jdORNBYCKR9xo+TNptpDx2TlRajNS46GuTpxPSCw=,13,22,female,9,2015-05-12,2017-09-13,855,20s,2015,5,1
5aK/dB0N/7AuXaOmBdXsawoIgJ3I6332BH5tBvChWt4=,11,34,female,9,2012-06-27,2017-10-22,1943,30s,2012,6,2
hZ4kF/3r+IOCcO+h0oPXypRkx17TF0LI0tq1qATx4/4=,4,32,male,3,2012-06-06,2012-06-13,7,30s,2012,6,2
j99U1/u7dthHsGVBZlmLfWrpLLJbYwoWsK9iLzlgXwE=,1,24,female,4,2016-12-15,2017-05-27,163,20s,2016,12,3
N/f1wc1zrqkLtVc9YcUdQDDZZXW8KkNDW0rWDBNc4Bs=,22,29,male,9,2011-12-14,2017-09-23,2110,20s,2011,12,2
1mLIcr3KuTej13nEnSW6pDjXekZvNlsgCs71dZtI1y0=,13,33,male,7,2011-03-30,2017-10-05,2381,30s,2011,3,2
2py1N+YUMs51S5OZ5jCZLSt7kpV/eVoypoROrn7x8Ys=,6,22,male,9,2016-08-27,2017-10-14,413,20s,2016,8,5
PkyjIeI3i6e/DtcQidRqTznpZzCjFvnBltJtA/hYfFM=,18,21,male,9,2007-05-17,2016-12-17,3502,20s,2007,5,3
U9Gjfr5GWxo6IkFGOeYg4KEjFoeXwYacBoiEkkMlWME=,4,20,male,9,2016-12-08,2017-09-27,293,10s,2016,12,3
d+oHXwF/bCEnGCcT0umEX/krK5PaSRqNvXzvHcj+XwY=,22,15,female,3,2017-02-23,2017-08-10,168,10s,2017,2,3
KGeDdiIUGnenx24WxLDeT4N5npGddZoUxD5Bh31lFZY=,13,48,female,9,2011-08-07,2017-08-23,2208,40s,2011,8,6
S8ZcCPtrkaqyeBqyr3xpJpNGHlxjX5j7wsTJ2Mchnec=,5,50,female,9,2010-05-27,2017-11-02,2716,40s,2010,5,3
4jyT2zY3wRcHYFODST/9VoRJoz+EhZeu9YzhqVnCvRs=,4,32,female,9,2011-08-24,2017-09-26,2225,30s,2011,8,2
DqBbZixgLoGAyMLF4/Ut40CY4zRQmdR9bSDhJOrAKTA=,5,54,female,9,2011-10-14,2017-09-24,2172,50s,2011,10,4
U54+ISzYmgBwtsqws5yRYcXNAvdAxl0HdRjgGC7zd+U=,5,47,female,3,2015-02-09,2015-06-15,126,40s,2015,2,0
IdOfvJMfTMfrmM5rt17S33XkNK5K1pB1mx+Rsj0DA2U=,15,27,male,3,2013-05-25,2017-10-06,1595,20s,2013,5,5
6+t89Efx6Ha5iCzKe7fdY9nNZkuyfIlk1CPhho9hhNk=,14,43,male,9,2007-11-15,2018-04-20,3809,40s,2007,11,3
Z4mPl8O9F/Ks5+zPzi7SHjJAmLdluIee1lGJ9QvJaSI=,22,36,female,9,2012-05-19,2017-09-07,1937,30s,2012,5,5
Wabygct8P9Kw2RF4ToRHmWCwxq/lhbUqOhDZDKhkAGE=,20,22,female,3,2015-09-02,2016-12-19,474,20s,2015,9,2
FfEausbckVJLb5/1iDKPsR14PEZluETO9Jyd8x8K9Us=,6,25,male,9,2016-10-01,2017-10-03,367,20s,2016,10,5
Npg+i+NHwgpr5dCJbeaVokSWDn4oEeWSpQPCCF1ccts=,14,35,female,9,2013-02-28,2017-10-23,1698,30s,2013,2,3
ZTvy1MN5I+lfPUzhnVTJg7SuNyzkwKCbo2Oc4gG9S6s=,8,17,male,3,2014-08-15,2017-10-02,1144,10s,2014,8,4
ENCimVR+Shaytww7E6WKblr75wK/S/vBeNAPTar2O2s=,6,30,female,9,2008-04-15,2017-10-07,3462,20s,2008,4,1
Cychp8L68FflRldqWf84NAbQAqQcVLcfh1Zub/4DSs8=,13,29,female,7,2011-03-04,2017-10-04,2406,20s,2011,3,4
U33o7FTjgjWTRy7v0QyCVPbWvxhai+A5t+eGKcaaXX8=,11,22,female,3,2013-08-16,2017-09-26,1502,20s,2013,8,4
kEC1Sf7KyCwGaY4m5An79nEzi1YQch3P4P6+dnExA3Y=,15,25,female,9,2009-02-04,2016-11-07,2833,20s,2009,2,2
WjQR/TlGkhq91Ec0jhsXeXHeBS7XTR6RdeoNGU2jRfg=,5,21,female,9,2011-03-15,2011-03-16,1,20s,2011,3,1
DPu2CtO2uSUL5fppUMkzpH5OnaavNpNfdlXkCw5dHls=,13,18,female,7,2016-02-21,2017-09-20,577,10s,2016,2,6
dlrugx+SK4pvL4wkg783aeoKcZqtd8o/HNo1s0SbhsI=,4,46,female,7,2013-06-23,2017-09-23,1553,40s,2013,6,6
azyoXkWb9rcU+n4bx96h2RQpV5FBWHyE78/znZ5GYGU=,5,18,female,9,2015-06-10,2017-09-12,825,10s,2015,6,2
0jd8F/1rQvnnnQSJN5gB31m1aROSxDfK7XEeqeTJeqc=,1,21,male,4,2015-12-06,2017-08-09,612,20s,2015,12,6
H0b3IWM8oiDqtLrdQNXIohUtqFZSXjq/ZvHYdKgcg0g=,4,19,male,4,2015-12-22,2017-01-07,382,10s,2015,12,1
ICz6/8FDBpINju767MIE2442HSv+ZXLBaHZ4q7AaZL0=,17,31,unknown,9,2014-11-28,2017-03-04,827,30s,2014,11,4
OcoOmlNgiP4WmzQKxW2wvvJI/mPKdzQzuJwejkSswPk=,1,14,unknown,9,2015-06-18,2017-09-27,832,10s,2015,6,3
eVm8fPAAIBD/vdUCJoEnKfKj/SA+VOQAUy2Uhj7IYNE=,13,17,female,4,2016-09-22,2017-09-25,368,10s,2016,9,3
xdft2PbLtMHHg5dHdmj6tlOEO4uu4FR0zJs6XKkLTQg=,13,37,female,9,2005-10-27,2017-12-09,4426,30s,2005,10,3
DVP7Tuk4tYp4n7vWn6yFKqa6IKdR7uLY2kb5RirHa6o=,22,19,male,4,2016-06-09,2018-03-10,639,10s,2016,6,3
CdSQeGXetwxZNkrJNKBZlh+Mm6JGV7H4XfwX3QEWZPc=,18,26,female,9,2010-02-12,2016-11-03,2456,20s,2010,2,4
IVKHDb8k2xN+BzTcDaPh10uwFjadlbqWaU5WkKi0zyk=,5,51,female,9,2007-09-14,2017-09-25,3664,50s,2007,9,4
yVTOPRAgHe+IcHez3t+k+e7bIqR7rDMl70Ir7TbOqac=,4,25,female,4,2016-06-05,2017-09-27,479,20s,2016,6,6
RhPnFPLNHFRC+O3JSfWA+sca3fUYErhB7cKtUk8EyJQ=,1,20,female,4,2015-12-28,2017-07-09,559,10s,2015,12,0
cOrCrX1TBGdZXYAn98mr/R03pfLFgIHh0v4Esv1fEiY=,13,30,male,9,2008-01-26,2017-09-15,3520,20s,2008,1,5
zlpBcFKpjwov3ipQ6mFFPAs41FlEehqXghck9n3kJZA=,14,27,female,9,2007-02-10,2017-09-20,3875,20s,2007,2,5
+l5buJyf/UcwHJy7qRphF+KNEr8xJIIfscglS0RnClA=,13,36,female,9,2005-09-17,2017-09-28,4394,30s,2005,9,5
/jllSYAoZibJ+OBeDikFKEPS1wUBtlPvDF9VBDSRybk=,13,31,female,9,2007-08-06,2017-11-20,3759,30s,2007,8,0
BrjHr2sDwLNsKLfAoTZwx6D7+W55aC2+H+UHWLFzVRI=,13,41,male,3,2013-03-17,2017-09-15,1643,40s,2013,3,6
5FfFy3wX7HeCF1SAkhu7PyRzYT9BHGNlP44XuDSydZw=,13,47,female,3,2013-08-11,2018-03-23,1685,40s,2013,8,6
TeKQ2iUjortzFo/f5nc3KHx1bVBzNL8tFV5u6RZI2/s=,1,21,female,9,2014-11-28,2017-10-02,1039,20s,2014,11,4
ef58z9QZT7wWYXKQtum6dFRcEdJo3Vf2DsTUEcoWabM=,14,32,female,9,2010-08-28,2017-09-10,2570,30s,2010,8,5
hnL23aKjqyaATMnsavwMmdnrLLy46tOp5f5V52Pd0RI=,1,32,female,4,2015-10-24,2017-10-04,711,30s,2015,10,5
GQHg3oG9EqQU9gMOSRYTxNlqbR75OiXgCmWWzaoTqps=,15,34,female,9,2007-06-25,2017-10-14,3764,30s,2007,6,0
+UU9vHlbbx3htwGmGiVtR5mEP5eAQOXycC7QdwZ71h8=,15,59,male,3,2014-07-02,2017-09-23,1179,50s,2014,7,2
7s/hbVRK/XvFCUxi/aZgXO8vho8gBFZkdX34ucu8vs8=,13,24,male,9,2011-06-06,2017-04-25,2150,20s,2011,6,0
4jYGK8yctzGWkRXU4y4OGQtCopKL8tCjkI0jNaUT/0c=,22,23,male,9,2012-06-04,2017-10-07,1951,20s,2012,6,0
1XjK/MwTOEShVHyWLZN3cXjwfW4QCGjWuCAszXkjLHw=,5,16,female,4,2015-11-09,2017-07-08,607,10s,2015,11,0
vyoxo0c6XWEPvhndjGPS1unkM5HiCCFyl0wvXISSBek=,8,21,female,9,2016-11-24,2018-01-15,417,20s,2016,11,3
NNm80OCBAO6WHxJSWVhXll8TAsd9HjFXTa3uSgbDG2c=,4,16,male,3,2017-02-18,2017-02-21,3,10s,2017,2,5
zrPEmpkTqgl3MmbtKQ6gtmfl5df8Jskl4NC/A6bI6iU=,4,24,male,3,2015-05-02,2017-09-11,863,20s,2015,5,5
K6M81h0IaT5c1b9TND94m5amypw0a0GqFZpL1OvXMaE=,1,18,male,4,2016-03-04,2017-11-24,630,10s,2016,3,4
Ty59+gs+lfVbfm1T/SDqLmbFhtkAP4Mm75uYiaKZ6kk=,13,27,male,7,2015-01-07,2018-01-25,1114,20s,2015,1,2
Z38eXUg0Z+C/uhVRiDApQpiEbpDnrZk2hryQTGuszzE=,13,29,male,3,2015-08-11,2017-10-06,787,20s,2015,8,1
ApAIwL7cTFVEUE2Aw1T5aYC6yNviJVUSGnABO4txhpU=,13,30,male,9,2004-09-18,2017-09-30,4760,20s,2004,9,5
ovdZ39J4RYIDwiHGg4ewQUiYHnxT7ZE3GPECLIUxkqU=,15,26,male,3,2015-01-01,2017-05-19,869,20s,2015,1,3
HJm0vtQoz3SgSQ5twrmwbaPwpTKjNRRBKwdA18toaUM=,15,27,female,3,2012-07-07,2017-09-25,1906,20s,2012,7,5
kAqswmNA4BcRZuCrn601nwil/bJq/GoO7Y/EVRVAVhI=,3,35,female,3,2015-07-16,2016-11-11,484,30s,2015,7,3
LfOBxngt14oVxS27mAcA/UzNWpdM/CrQqh70NUG911Q=,5,19,male,3,2015-03-19,2017-09-04,900,10s,2015,3,3
TZ71PeSF8sJf5OPz7FSiLxlqpNmJ7BZnW/r2lmyY4FM=,4,25,female,3,2012-06-25,2012-07-02,7,20s,2012,6,0
LKgeXrQ/i6LOWZOHrzk1bmWA7OeY1ovF9rmzmgdY46s=,15,22,female,3,2012-07-18,2017-10-28,1928,20s,2012,7,2
jZT8GCxphSuw5u/3Dpxpd5cZDeTddnyGnG3R0ZVBnvg=,14,30,female,7,2010-11-25,2017-10-02,2503,20s,2010,11,3
nGNt0huNRIKmHPJ57BT4I+f7wq1Sr+c2BgdwLiHtL8E=,13,25,male,9,2011-05-20,2017-10-27,2352,20s,2011,5,4
gaYdxoXSGQvFL9Uqb6QB7uPxyS/ITYM/TO7nbZd+8nI=,5,26,female,9,2012-06-05,2017-09-18,1931,20s,2012,6,1
iu3qBIwMJIbGZwJqE+RbXv2nlE2KfjcH6GuldbNg6UI=,11,33,female,9,2006-12-08,2013-12-10,2559,30s,2006,12,4
Fx2ZL4cdzlaxn1WOgqLSPevk0zNqAwidku68yb51Ezw=,4,19,male,7,2015-09-01,2017-09-16,746,10s,2015,9,1
6QrBX5Db60PiwhRCedigyEDt7iuWtSWgOuyE/G+66ZA=,5,24,female,9,2006-03-31,2017-09-26,4197,20s,2006,3,4
L+5bpBfapgPhtiVliPhp1Oi1OGyckxtZUxEXGMtlqDE=,5,24,male,3,2013-06-04,2017-09-30,1579,20s,2013,6,1
HMl2/E4zA8uRpBjj2nK2j5OHpulW7otTGrLo3ajRbW8=,6,21,female,9,2009-03-29,2017-10-01,3108,20s,2009,3,6
U9Z+N+szYGJHTPMn/C0V7yIyIC24fDI0RDRWChXATkg=,13,24,female,7,2016-04-18,2017-09-17,517,20s,2016,4,0
eu2uud5M9aabg1Uu82f4ITjb8lnsa1BXKugfkLov3II=,15,24,male,4,2015-10-11,2017-10-14,734,20s,2015,10,6
nntqnWxY1xc8fR7d6ETV5mO/OZafaRjxqujqQQQPHVI=,13,30,female,9,2011-10-22,2018-01-29,2291,20s,2011,10,5
OpETxCCwWpLgcku7X9FFkafHsrwSsUlBTw3q4eTM2I4=,4,34,female,9,2011-10-03,2017-10-02,2191,30s,2011,10,0
MrJNgT9DBXZY3piygTFME0znoMv30sHJPssUQtQUCEU=,4,24,female,3,2013-02-27,2017-08-15,1630,20s,2013,2,2
5pKUd5MJ9jU81lD9Fx9IV0emQD7m/PTrKSRx/e2QKlA=,13,23,male,9,2007-09-09,2017-09-22,3666,20s,2007,9,6
MwWyxkOSQWBkqmjSB5xZajjPFs5ItHbNXY4qn/AERkw=,10,19,female,9,2010-11-20,2017-06-18,2402,10s,2010,11,5
eIXB1Mp6L2zaaxCtzfdG0GL3CnTzsEwhAqI+BrDP0bA=,17,18,male,7,2013-05-25,2017-09-30,1589,10s,2013,5,5
DdhTrTHRb+uLy4cCvqPsAdxs9jyaTWjxu4y6tQsFOtU=,15,54,female,9,2011-12-25,2017-09-15,2091,50s,2011,12,6
VmVNLJQRDxLsfXpE9ViQWm/H7P/gB/sjye6tdBBwf9s=,5,36,female,9,2015-07-06,2017-10-09,826,30s,2015,7,0
qgWmVfRdAZRlyJBuvdOEf4lxF1OVMpylVWT2aS3scsU=,15,37,male,9,2011-07-02,2017-10-08,2290,30s,2011,7,5
EB2/oHHMbHWUsCuS3vjHLknly8hpx+3v6iUyO2URXQI=,22,24,female,4,2015-10-28,2017-10-13,716,20s,2015,10,2
4InKHFMELFgl1RphxVdtZ27q/LZM4UrYJl3NVrGb3T0=,15,30,male,9,2010-09-09,2017-10-15,2593,20s,2010,9,3
W30MtdCWtu8FZGGZIQ14yT+I0iUxaqEZ3AJPUW3VfYk=,22,22,female,9,2014-10-18,2018-04-06,1266,20s,2014,10,5
iosomHIb5+/63MTQobwxoR1vzqN/ljBGpm4uQevBOeg=,14,40,female,9,2005-10-22,2017-09-19,4350,30s,2005,10,5
AEp2lzdXR5cH5yQJNYubd+ARPkEgikRg6rJnQIEogsE=,22,25,male,7,2014-12-16,2017-09-17,1006,20s,2014,12,1
yOeegMaxyCdswbiiauxTuOM8An8eulsQfdPAffNA9DE=,15,34,male,9,2011-11-11,2018-01-23,2265,30s,2011,11,4
i2UvXe+9Oxh2YEX+3gseUScwwORIp1kCi0NXD7tNrew=,4,25,female,7,2012-12-15,2017-10-05,1755,20s,2012,12,5
WRFqyK8AmV9USPg5G7C+M/l0vEMWnd7IHAoqAqwjKCE=,1,35,female,3,2014-09-22,2017-10-05,1109,30s,2014,9,0
39p7RSZy4eKARnyGFXLvUMFtjl8U6Pb1HS6xkW7InqE=,13,27,male,9,2011-11-24,2017-07-20,2065,20s,2011,11,3
kxnvEqfmOGg9odQGhAv4kbfbtBXH7JOZXT0U/S0gHzw=,12,38,female,9,2007-10-10,2017-10-05,3648,30s,2007,10,2
2uDpN918cRK7r/VJ5/z71rImJN2UH3SzWu32BRwsZCc=,1,17,female,4,2015-11-27,2015-11-30,3,10s,2015,11,4
py6Klyqzwd88aAUkh7THPWMTsBIV8CwsKxt4WIw+v6w=,18,19,female,9,2011-10-12,2018-09-29,2544,10s,2011,10,2
7VzSlva0ZIQfLa6DeqKQ+A8aI7Ym5QITfE/WWxzwfzc=,13,27,male,9,2013-06-26,2017-09-26,1553,20s,2013,6,2
OtoN9o6WYB5Ua/K8Dhd3Mlb92ZPdpkCcdXL7wwVMAnU=,16,20,male,7,2016-01-17,2017-09-16,608,10s,2016,1,6
RhMbbakmLxmKkXQ5yYmHvIlhKhcydTqBnXHHz0ZufRc=,5,22,female,3,2013-06-25,2017-08-14,1511,20s,2013,6,1
lyucTFg3pE+SFfuNyN9/7BDqHVK93HsZ4LPsqnDwCwQ=,13,16,male,4,2015-12-17,2017-09-25,648,10s,2015,12,3
kLH5qh6tPFsLqTJ07jdM7TgyY3e3uc1FYwbX0OZWeQk=,22,55,male,4,2016-04-19,2017-06-18,425,50s,2016,4,1
lSFNlh60s8fWFU0a4ejsXDmo7mfMrEdRkLPP8jjJRQU=,5,41,male,9,2009-04-11,2017-09-11,3075,40s,2009,4,5
cpmj7XWvLjbG1eVAv266hbAFSKx7FSfFtgLseS5LY4M=,13,23,male,9,2013-11-15,2017-03-20,1221,20s,2013,11,4
7xrM4Ezrct6dmoGPT4FIuNWOz42aQFGCT5nJI3ZJ3is=,12,31,male,7,2013-12-24,2017-09-02,1348,30s,2013,12,1
uH2VWyYNp+DecWdeh+aywCSfwVWLj7NGS9vTx5Vhibk=,15,22,male,9,2016-12-18,2017-07-29,223,20s,2016,12,6
jIswSil2gcZBbZ+P5isDzqT1JnVv/U8yal1p1UOyUc8=,5,28,female,9,2015-01-30,2017-10-06,980,20s,2015,1,4
etq8QudYxGdAMf+/E97L5Keh5WwHMDjBXUPqLtePhP8=,5,39,male,9,2010-05-05,2017-10-07,2712,30s,2010,5,2
kJTiR7qexamZlCyPNrGoRpI17vuswnw0e7kngDAR0x4=,22,23,female,9,2011-01-25,2017-10-04,2444,20s,2011,1,1
PINV6dua2qHSWF+RNl9i8o3pi99hih1on5X772MZbQo=,5,25,male,7,2014-01-02,2017-10-06,1373,20s,2014,1,3
+boPBM5G5+vAfbO6zTy7A2FrVQyl91aBPGHkQ6ciNYc=,6,23,male,3,2014-01-04,2017-10-12,1377,20s,2014,1,5
N9u0iiKsqZYNdmI12834pcyIc7xkifUUHyrb69T0jaU=,13,18,male,3,2015-05-01,2017-09-15,868,10s,2015,5,4
QYvOo0RHT+vLWFj7lTNaHMjfZdtb7W2Ovo7J+3cJ5k0=,6,33,male,3,2013-03-26,2018-02-04,1776,30s,2013,3,1
7l3cRaqvcKOps5r0tqsBQJN4uN3D3vl6gLT087QGKWg=,18,25,male,4,2015-10-15,2017-10-30,746,20s,2015,10,3
3UkqFQP6msSDm9XbS2oS6S1SlNuQNz92/JH9YN+uSqI=,6,23,female,7,2016-02-17,2017-09-17,578,20s,2016,2,2
jJvUBT3Qs53VQSQi540tKD5+l7xHeNtL4Gl5InVtA6A=,5,26,male,3,2015-01-10,2017-09-14,978,20s,2015,1,5
5tRam17gLP6SzVEizevM+WdSBoBd8mLORmccsD9dXnE=,4,32,male,3,2015-02-23,2017-09-18,938,30s,2015,2,0
ljEg518i+TIvyW/5SCSWBJSIohe8yBmjLdaOLdtXzH4=,18,17,female,4,2016-01-16,2017-08-16,578,10s,2016,1,5
SnvB9Tp9waUiy6CNmKI2cxMZeBmh87FbekMD0PtQlh0=,4,20,female,3,2015-08-17,2015-08-24,7,10s,2015,8,0
QXzD7GEwDuFJbYD7FQOMMIAHDXhbnYdRlf2kBEgd/0Y=,6,22,male,3,2015-05-15,2017-06-17,764,20s,2015,5,4
rlhKVcKNDKfFd8jOv5+eYsQn6lR6Z17TU75WkKG01Yc=,13,28,male,9,2011-03-09,2017-09-20,2387,20s,2011,3,2
bcMQarvs9GQpeh/qLnQQ6fqxxOTl8lqz7yo6ggmseUE=,4,17,female,9,2011-03-01,2017-07-16,2329,10s,2011,3,1
kwld3LP3OUgjjA7wu/pRRex42PzvUcbYcwydWIPyhCQ=,22,20,male,3,2016-11-08,2016-11-15,7,10s,2016,11,1
t1ds2l5WFoR2XPqN4AC0OPirNsnphOHcAncM8MHZ47k=,11,18,female,3,2014-03-29,2014-04-05,7,10s,2014,3,5
1EWkWuqJSss26wISV+DtcTymbIgDFhYNWgqE+AiXmuw=,5,25,male,9,2006-07-12,2017-10-14,4112,20s,2006,7,2
UuWRWmcHaRLv5Q7SI1SK+XcBu5LAjo0r/bLDI4VCjLY=,13,21,female,7,2014-09-09,2017-06-17,1012,20s,2014,9,1
892TqpArpazJmG65zAcJi/X1MtjyfXS8yvXBSN8SdbE=,6,19,male,3,2014-10-06,2017-06-17,985,10s,2014,10,0
FH0iFNYWxF0REEtebaIpizdgV78toopmKkUSDlFMQjU=,4,29,male,9,2014-08-31,2017-09-17,1113,20s,2014,8,6
kx3XFPU2Y3Fhlw+5EnimIp/+mMgFvWSExV1bg6PBeKg=,1,25,male,3,2014-12-25,2015-01-01,7,20s,2014,12,3
1ApU854LiOZXLOd2TIjleUShyeJWGqhItxaVBzPlQMU=,14,18,female,9,2016-11-30,2017-09-18,292,10s,2016,11,2
m49VtOqwwoxcTAingaYT/ysWirOQDAzWz2/qf+bL+fM=,15,33,male,9,2009-03-26,2017-04-06,2933,30s,2009,3,3
SNHz6VL4WVQzQ/YNYPMCKGisid/y7my8DmVB6aC5/5g=,13,33,male,7,2010-04-27,2017-01-02,2442,30s,2010,4,1
iAeamAbW6swKc9sStnSyN22+KOry+okE03l13ylvUrg=,13,35,male,7,2013-11-09,2017-07-10,1339,30s,2013,11,5
2ho4X87S0z826+tsRAqMhH2DSmJRDG9SGXylnT4Lx0w=,13,32,male,3,2015-05-13,2017-11-14,916,30s,2015,5,2
hTagEkAMfVS5eiWQ3cuaqmmabqwHJG3HSfby3nemdWU=,4,24,female,4,2017-02-05,2018-03-28,416,20s,2017,2,6
kYs78L5/9UPzEUgkvGdTHp1QTBdC/WCX67b48SGdBZ4=,13,21,female,9,2011-11-20,2017-07-14,2063,20s,2011,11,6
zuPj10AuXphNXyOudK145ZexguJ2gn7dYn90tXu94ZA=,13,29,female,9,2004-10-25,2017-09-30,4723,20s,2004,10,0
boYnAja8RbyTmuyyVOY0Zw0fb2yvXOkV+BAHLJyeD+A=,13,32,female,7,2011-04-04,2017-09-24,2365,30s,2011,4,0
0L5KPj8N6mNAjA9YF3vpUf7/AWuoQXGLQ1nnRLZjXzE=,13,17,female,3,2012-12-19,2017-06-09,1633,10s,2012,12,2
B7h2cLrN4mDgYLEVoLG4iyvPekN6bme2B+1eGXOqHzY=,5,19,male,4,2016-12-11,2017-10-01,294,10s,2016,12,6
hZxkG5+O7RPNbG6EMlCSwZHv0MImQe7k+T5voc6cUQA=,4,28,male,4,2015-12-16,2017-06-15,547,20s,2015,12,2
